ean_code,product_id,product_name,product_description,product_price,product_image,product_weight,product_height,product_length,product_width,product_url,unit_type
8712448428200,1101822,Hendrik Jan snoeischaar aluminium papegaaibek ergonomisch 208 mm,"  Deze hendrik Jan snoeischaar is een ergonomisch ontworpen papegaaibek snoeischaar gemaakt van lichtgewicht aluminium voor het snoeien van dunne stelen, twijgen en takken met een maximale diameter van 21 mm.
 
De belangrijkste specificaties
•Ergonomisch ontworpen
•Lichtgewicht (aluminium)
•Met mesvergrendeling
•Anti slip softgrip handvatten
•Geïntegreerde draadafsnijder
 
De voordelen van Hendrik Jan snoeischaar papegaaibek - aluminium
Een snoeischaar met papegaai bek heeft twee langs elkaar snijdende messen en is geschikt voor jonge en levende takken en twijgen. Deze Hendrik jan snoeischaar heeft een eenvoudig te bedienen ontgrendelsysteem. Door de handvatten aan te drukken wordt de vergrendeling opgeheven en de schaar wordt weer vergrendeld door de vergrendeling knop bovenop de snoeischaar te gebruiken die geschikt is voor zowel rechtshandige als linkshandige mensen. De handvatten van deze schaar hebben een anti slip softgrip waardoor de schaar goed in de hand ligt en u comfortabel werken kunt. Met de geïntegreerde draadsnijder aan de bovenzijde van de schaar kunt u ook nog eenvoudig draad tot 1,9 mm. afknippen
 
Wat zit er in de verpakking?
•Hendrik Jan snoeischaar papegaaibek
 
Tips & Tricks
Knip met een snoeischaar zo haaks mogelijk op de tak en zorg dat de tak zo ver mogelijk in de bek ligt. Dit maakt het snoeien makkelijker. Berg de snoeischaar schoon op, voor een langer goed functioneren van de schaar","€ 20,95",https://www.talentools.nl/media/catalog/product/cache/6ad789fdec6ea98caa0d1eb6a10b5f89/9/6/967595.jpeg,"0,15 kg","26,60 cm","11,00 cm","3,20 cm",https://www.talentools.nl/hendrik-jan-snoeischaar-aluminium-papegaaibek-ergonomisch-208-mm,Stuks
8712448430135,1102239,Hendrik Jan zakmes inklapbaar met houten heft 16 cm," Inklapbaar zakmes met houten heft. Een zakmes is een ideaal product om altijd bij de hand te houden.
De belangrijkste specificaties
•Houten heft
•Inklapbaar
•Lengte 160 mm. 

De voordelen van Hendrik Jan inklapbaar zakmes
Een zakmes is een zeer veelzijdig hulpmiddel en kan in veel situaties goed van pas komen. Zoals bijvoorbeeld het doorsnijden van takjes, het doorsnijden van touw, etc. Een zakmes is een ideaal product om altijd bij de hand te houden
 
Wat zit er in de verpakking?
1 inklapbaar zakmes met houten heft","€ 7,99",https://www.talentools.nl/media/catalog/product/cache/6ad789fdec6ea98caa0d1eb6a10b5f89/9/6/968055.jpeg,"0,06 kg","2,00 cm","29,00 cm","8,00 cm",https://www.talentools.nl/hendrik-jan-zakmes-inklapbaar-met-houten-heft-16-cm,Stuks
8712448428170,1101819,Hendrik Jan snoeischaar aluminium aambeeld ergonomisch 205 mm,"  Deze ergonomisch ontworpen Hendrik Jan aambeeld snoeischaar is gemaakt voor het snoeien van hardere, dode en wat oudere takken en twijgen met een maximale diameter van 20 mm.
De belangrijkste specificaties
•Lichtgewicht (aluminium)
•Ergonomisch ontworpen

•Uitgevoerd met aambeeld
•Takken en twijgen tot 20 mm.
•Teflon antikleeflaag
•Anti slip softgrip
 
De voordelen van Hendrik Jan snoeischaar aambeeld - Aluminium
Een snoeischaar met aambeeld is een snoeischaar met één snijdend vlak en één stomp vlak. Dat stompe vlak wordt het aambeeld genoemd en dit aambeeld zorgt ervoor dat de te snoeien tak goed vast ligt en we meer houvast hebben bij het snoeien. Door de juiste hoek en de goede positie van het snijblad snijdt deze comfortabele snoeischaar de takken netjes en precies af. Voor de veiligheid heeft deze schaar een handige en eenvoudig te bedienen snijbladvergrendeling bovenop de snoeischaar die geschikt is voor zowel rechtshandige als linkshandige mensen. De handvatten van de lichtgewicht aluminium schaar hebben een antislip, softgrip, waardoor de schaar goed in de hand ligt en u comfortabel kunt werken. De Teflon antikleeflaag op het snijblad zorgt ervoor dat plantensappen en vuiligheid niet aan het blad blijven kleven en overdracht van plant- en boomziektes voorkomen wordt. Deze Hendrik Jan takkenschaar knipt takken tot een dikte van 20 mm.
 
Wat zit er in de verpakking?
• Hendrik Jan snoeischaar aambeeld
 
Tips & Tricks
Knip met een snoeischaar zo haaks mogelijk op de tak en zorg dat de tak zo ver mogelijk in de bek ligt. Dit maakt het snoeien makkelijker. Berg de snoeischaar schoon op, voor een langer goed functioneren van de schaar","€ 20,95",https://www.talentools.nl/media/catalog/product/cache/6ad789fdec6ea98caa0d1eb6a10b5f89/9/6/967591.jpeg,"0,24 kg","26,40 cm","11,10 cm","2,70 cm",https://www.talentools.nl/hendrik-jan-snoeischaar-aluminium-aambeeld-ergonomisch-205-mm,Stuks
8712448428569,1101858,Hendrik Jan takkenschaar papegaaibek 75 cm,"  De takkenschaar met papegaaibek van Hendrik Jan is bij uitstek geschikt voor het doorknippen van boomtakken tot een dikte van 28 mm. Door de scherpe messen en de lange stelen van 75 cm snijdt deze schaar makkelijk door de takken heen. Door een opvangbuffer ontlast de schaar bij het gebruik de polsen wat het tuinieren een stuk aangenamer maakt.
De belangrijkste specificaties
• Lengte van 750 mm.
• Voorzien van opvangbuffer
• Met bovenblad voorzien van een Teflon antikleeflaag
 
De voordelen van Hendrik Jan Takkenschaar Papegaaibek
Het bovenblad van de schaar is voorzien van een Teflon antikleeflaag, hierdoor blijven resten van de takken en vuil niet aan het mes kleven en is de kans van het overdragen van ziektes tussen bomen kleiner
 
Wat zit er in de verpakking?
• Hendrik Jan takkenschaar Papegaaibek
 
Tips & Tricks
Veeg de takkenschaar na gebruik goed schoon met een droge doek","€ 22,95",https://www.talentools.nl/media/catalog/product/cache/6ad789fdec6ea98caa0d1eb6a10b5f89/9/6/967631.jpeg,"0,98 kg","2,60 cm","74,00 cm","28,00 cm",https://www.talentools.nl/hendrik-jan-takkenschaar-papegaaibek-75-cm,Stuks
8712448428163,1101818,Hendrik Jan snoeischaar aluminium universeel ergonomisch 202 mm,"  Deze Hendrik Jan ergonomisch ontworpen universele snoeischaar is gemaakt voor het fijne werk in huis en tuin! Met deze lichtgewicht aluminium schaar snoeit u gemakkelijk bloemen en dunne takjes. Ook prima geschikt voor het oogsten van druiven.
De belangrijkste specificaties
•Materiaal: Aluminium
•Ergonomisch ontworpen

•Met mesvergrendeling
•Geschikt voor zowel links- en rechtshandigen

•Anti slip softgrip handvatten
 
De voordelen van Hendrik Jan snoeischaar universeel - Aluminium
De snoeischaar heeft een eenvoudig te bedienen ontgrendelsysteem. Door de handvatten aan te drukken wordt de vergrendeling opgeheven en de schaar wordt weer vergrendeld door het gebruik van de mesvergrendeling bovenop de snoeischaar die geschikt is voor zowel rechtshandige als linkshandige mensen. De handvatten van deze schaar hebben een anti slip softgrip waardoor uw hand niet wegglijdt en u comfortabel kunt werken. Met de geïntegreerde draadsnijder aan de bovenzijde van de schaar kunt u ook nog eenvoudig draad tot 1,2 mm. afknippen
 
Wat zit er in de verpakking?
•Hendrik Jan snoeischaar universeel
 
Tips & Tricks
Door de punt te gebruiken om uitgebloeide bloemetjes tussen de bloeiende uit te knippen kun je heel precies knippen","€ 20,95",https://www.talentools.nl/media/catalog/product/cache/6ad789fdec6ea98caa0d1eb6a10b5f89/1/2/1283180.jpeg,"0,12 kg","26,60 cm","11,30 cm","3,20 cm",https://www.talentools.nl/hendrik-jan-snoeischaar-aluminium-universeel-ergonomisch-202-mm,Stuks
8712448434850,1107415,Hendrik Jan sneeuw-ijsbezem 40 cm met steel," De Hendrik Jan sneeuw en ijsbezem is geschikt voor het wegvegen van sneeuw en ijs. Door de geïntegreerde metalen ijs ‘schrapers’ kun je gemakkelijk de hardnekkige sneeuw/ijs wegvegen.
De bezem zelf is 40 cm breed en is voorzien van een 140 cm lange steel. De bezem is voorzien van een metalen opzetstuk naar de steel, hierdoor kan er veel kracht gezet worden met het sneeuwruimen.
De belangrijkste specificaties
• Steel is 140 cm
• Met metalen opzetstuk
• Bezem 40 cm
De voordelen van Hendrik Jan sneeuw en ijsbezem 40 cm met steel 140 cm
De lengte van deze steel is deze het best geschikt voor mensen van gemiddelde lengte.
Wat zit er in de verpakking?
Hendrik Jan Sneeuw en ijsbezem 40 cm met steel 140 cm
Tips & Tricks
•Maak de bezem altijd goed schoon na gebruik en bewaar het op een droge plek. Zo voorkom je o.a. roestvorming. Om de houten steel te beschermen kan er urethaan op aangebracht worden.
•Werk je met deze bezem dan ben je verantwoord bezig. Met FSC keurmerk, een internationaal keurmerk gesteund door alle grote milieu- en ontwikkelingsorganisaties, dat staat voor verantwoord bosbeheer.","€ 20,95",https://www.talentools.nl/media/catalog/product/cache/6ad789fdec6ea98caa0d1eb6a10b5f89/9/6/968289.jpeg,"1,41 kg","10,00 cm","150,00 cm","42,00 cm",https://www.talentools.nl/hendrik-jan-sneeuw-ijsbezem-40-cm-met-steel,Stuks
8712448432658,1104501,Hendrik Jan hooivork 2 tanden met steel 135 cm,"  Hendrik-Jan hooivork 2-tands. Deze hooivork is licht in gebruik. Zo is deze hooivork naast het gebruik in de stal ook te gebruiken bij het verwijderen van stro, blad of takken uit de tuin.
De belangrijkste specificaties:
-135cm steel
-Tanden van de vork zijn licht gebogen
De voordelen van Hendrik Jan Hooivork 2-tands FSC100%
Deze hooivork heeft 2 tanden. Doordat de hooivork licht in gebruik is, is de hooivork voor meerdere doeleinden geschikt. Bijvoorbeeld voor het verplaatsen/voeren van hooi/stro, maar ook voor het verwijderen van stro, blad of takken uit de tuin.
Wat zit er in de verpakking?
-1 Hendrik Jan Hooivork 2-tands FSC100%","€ 35,00",https://www.talentools.nl/media/catalog/product/cache/6ad789fdec6ea98caa0d1eb6a10b5f89/8/9/896853.jpeg,"1,19 kg","5,00 cm","165,00 cm","15,00 cm",https://www.talentools.nl/hendrik-jan-hooivork-2-tanden-met-steel-135-cm,Stuks
8712448432634,1104499,Hendrik Jan polyhark recht met steel 160 cm,"  Deze hark is geschikt voor het aanharken van zand en gazon e.d. Daarnaast heeft de hark een handige bovenkant waarmee een zandbed geëgaliseerd kan worden.
De belangrijkste specificaties:
-160 cm lang
-FSC-Keurmerk
De voordelen van Hendrik Jan Polyhark recht/rand met steel 160 cm – 100% FSC:
Deze polyhark is zeer geschikt voor het aanharken van zand en gazon en dergelijke. De hark heeft een handige bovenkant waarmee je een zandbed makkelijk kan egaliseren. De steel van de hark heeft het keurmerk FSC en is 165cm lang.
Wat zit er in de verpakking?
-1 Hendrik Jan Polyhark recht/rand met steel 160 cm – 100% FSC","€ 29,95",https://www.talentools.nl/media/catalog/product/cache/6ad789fdec6ea98caa0d1eb6a10b5f89/9/6/968287.jpeg,"1,18 kg","195,00 cm","12,00 cm","65,00 cm",https://www.talentools.nl/hendrik-jan-polyhark-recht-met-steel-160-cm,Stuks
8712448432665,1104502,Hendrik Jan mestvork 4 tanden met steel 85 cm,"  Deze mestvork is geschikt voor het verplaatsen van mest en tuinafval.
De belangrijkste specificaties:
-Steel en vork zijn verbonden door middel van een “stiftverbinding”.
-85cm lange steel
De voordelen van Hendrik Jan Mestvork 4 tanden met 85 cm steel 100%FSC:
Deze mestvork is voorzien van 4 dunne ovale tanden. Daardoor dringen de tanden makkelijk in de vaste mest zonder buigen of af te breken. De vork is bevestigd aan de steel door middel van een stift verbinding. Hierdoor is de vork erg sterk, maar ook licht in gebruik.
Wat zit er in de verpakking?
- Hendrik Jan Mestvork 4 tanden met 85 cm steel 100%FSC","€ 28,95",https://www.talentools.nl/media/catalog/product/cache/6ad789fdec6ea98caa0d1eb6a10b5f89/8/9/896854.jpeg,"1,43 kg","120,00 cm","11,00 cm","22,00 cm",https://www.talentools.nl/hendrik-jan-mestvork-4-tanden-met-steel-85-cm-1,Stuks
8712448432641,1104500,Hendrik Jan tuinruimer kunststof met steel 140 cm,"  Deze tuinruimer is uiterst geschikt voor het werken in de tuin. Je kan er namelijk mee harken, scheppen en zeven. Ook handig te gebruiken in samenwerking met een tuinafvalzak.
De belangrijkste specificaties:
-Meerdere functies in één, zo kan je er mee harken, scheppen én zeven.
-140cm lange steel
-Kunststof materiaal
De voordelen van Hendrik Jan Tuinruimer kunststof met steel 140 cm 100%FSC:
Deze Hendrik Jan tuinruimer is zeer geschikt voor in de tuin. De tuinruimer heeft meerder functies: harken, scheppen en zeven.
Wat zit er in de verpakking?
- Hendrik Jan Tuinruimer kunststof met steel 140 cm 100%FSC","€ 23,95",https://www.talentools.nl/media/catalog/product/cache/6ad789fdec6ea98caa0d1eb6a10b5f89/8/9/896851.jpeg,"1,14 kg","173,00 cm","18,00 cm","36,00 cm",https://www.talentools.nl/hendrik-jan-tuinruimer-kunststof-met-steel-140-cm,Stuks
